Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
02:45:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,1.986267E+00,2.075028E+04,1.291455E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.590134E-01,6.172650E+03,0.000000E+00,7.932047E-01,2.446970E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,7.848677E-01,5.639858E+03,0.000000E+00
03:00:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,1.994936E+00,2.075636E+04,1.291091E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.660657E-01,6.126726E+03,0.000000E+00,8.031633E-01,2.477691E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,7.896722E-01,5.586303E+03,0.000000E+00
03:15:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.003402E+00,2.075961E+04,1.290525E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.728900E-01,6.077641E+03,0.000000E+00,8.128414E-01,2.507547E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,7.942293E-01,5.529952E+03,0.000000E+00
03:30:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.011691E+00,2.076037E+04,1.289786E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.795129E-01,6.025654E+03,0.000000E+00,8.223439E-01,2.536862E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,7.985736E-01,5.471128E+03,0.000000E+00
03:45:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.019821E+00,2.075892E+04,1.288885E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.859549E-01,5.970969E+03,0.000000E+00,8.315998E-01,2.565416E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.027324E-01,5.410085E+03,0.000000E+00
04:00:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.027805E+00,2.075543E+04,1.287837E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.922305E-01,5.913746E+03,0.000000E+00,8.405489E-01,2.593023E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.067264E-01,5.347021E+03,0.000000E+00
04:15:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.035653E+00,2.078837E+04,1.290542E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.983509E-01,5.887511E+03,0.000000E+00,8.492547E-01,2.619879E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.105711E-01,5.312230E+03,0.000000E+00
04:30:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.043374E+00,2.081954E+04,1.293114E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,9.043253E-01,5.859420E+03,0.000000E+00,8.577382E-01,2.646050E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.142795E-01,5.275984E+03,0.000000E+00
04:45:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.050973E+00,2.084900E+04,1.295561E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,9.101615E-01,5.829556E+03,0.000000E+00,8.660204E-01,2.671600E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.178628E-01,5.238386E+03,0.000000E+00
05:00:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.058456E+00,2.087685E+04,1.297882E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,9.158657E-01,5.797987E+03,0.000000E+00,8.741246E-01,2.696601E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.213312E-01,5.199527E+03,0.000000E+00
05:15:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.065827E+00,2.105648E+04,1.315671E+04,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,9.214436E-01,5.901818E+03,0.000000E+00,9.951719E-01,3.070022E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.246948E-01,5.282145E+03,0.000000E+00
05:30:00,7.733388E-01,2.385685E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.073094E+00,2.123466E+04,1.333358E+04,7.943985E-01,2.450653E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,9.269029E-01,6.005708E+03,0.000000E+00,1.069243E+00,3.163002E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.279679E-01,5.364676E+03,0.000000E+00
05:45:00,7.787919E-01,2.402508E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.080263E+00,2.141147E+04,1.350958E+04,8.681661E-01,2.678219E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,9.322514E-01,6.109685E+03,0.000000E+00,1.163153E+00,3.120694E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.311679E-01,5.447215E+03,0.000000E+00
06:00:00,8.340778E-01,2.573060E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.087339E+00,2.158698E+04,1.368477E+04,9.330910E-01,2.878507E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,9.374962E-01,6.213769E+03,0.000000E+00,1.246330E+00,3.084274E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.343132E-01,5.529867E+03,0.000000E+00
06:15:00,1.013425E+00,3.126332E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.120157E+00,2.231373E+04,1.441723E+04,1.111256E+00,3.135908E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,9.689450E-01,6.674389E+03,0.000000E+00,1.454289E+00,2.993059E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,8.635625E-01,5.948482E+03,0.000000E+00
06:30:00,1.145742E+00,3.112995E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.439833E+00,2.704722E+04,1.985998E+04,1.237735E+00,3.061659E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,1.368708E+00,1.208622E+04,4.302590E+03,1.687638E+00,2.867062E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,1.162753E+00,9.209485E+03,1.355319E+03
06:45:00,1.187975E+00,3.083596E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.779569E+00,3.167033E+04,2.547042E+04,1.279569E+00,3.029796E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,1.685777E+00,1.662769E+04,9.374550E+03,1.794255E+00,2.768217E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,1.459122E+00,1.351516E+04,5.989169E+03
07:00:00,1.289107E+00,3.018496E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,3.218283E+00,3.736784E+04,3.215999E+04,1.368626E+00,2.971461E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.094349E+00,2.220869E+04,1.588163E+04,1.989126E+00,2.627741E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,1.850804E+00,1.893139E+04,1.220804E+04
07:15:00,1.466691E+00,2.902492E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,3.943549E+00,4.696145E+04,4.281703E+04,1.537085E+00,2.860836E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.784239E+00,3.164162E+04,2.666176E+04,2.374850E+00,2.359570E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,2.520255E+00,2.816314E+04,2.279025E+04
07:30:00,1.612585E+00,2.788589E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.613098E+00,5.496052E+04,5.118365E+04,1.670136E+00,2.753202E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,3.386089E+00,3.922813E+04,3.486232E+04,2.660635E+00,2.097483E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,3.101929E+00,3.560013E+04,3.095064E+04
07:45:00,1.658822E+00,2.726791E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,5.286345E+00,6.231922E+04,5.873129E+04,1.722883E+00,2.680832E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,3.982588E+00,4.616424E+04,4.212160E+04,2.691472E+00,1.983078E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,3.683477E+00,4.247658E+04,3.824534E+04
08:00:00,1.740618E+00,2.648830E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,5.584796E+00,6.459648E+04,6.092980E+04,1.875785E+00,2.547512E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.196511E+00,4.801887E+04,4.385396E+04,2.831805E+00,1.831753E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,3.910759E+00,4.462338E+04,4.031352E+04
08:15:00,1.793769E+00,2.590884E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,5.958083E+00,6.864337E+04,6.520091E+04,1.965002E+00,2.458421E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.522585E+00,5.186216E+04,4.792731E+04,2.906581E+00,1.730965E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.250094E+00,4.868505E+04,4.462020E+04
08:30:00,1.853759E+00,2.525153E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,6.237103E+00,7.169728E+04,6.850617E+04,2.068971E+00,2.353576E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.756494E+00,5.466727E+04,5.097972E+04,2.999572E+00,1.612798E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.499860E+00,5.172022E+04,4.790577E+04
08:45:00,1.804332E+00,2.546406E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,6.229541E+00,7.145823E+04,6.827457E+04,1.943380E+00,2.432324E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.709053E+00,5.423368E+04,5.050343E+04,2.839471E+00,1.697951E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.478840E+00,5.162843E+04,4.777443E+04
09:00:00,1.791744E+00,2.554540E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,6.277994E+00,7.252868E+04,6.940058E+04,1.930324E+00,2.440401E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.749518E+00,5.529742E+04,5.162754E+04,2.788582E+00,1.733746E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.553068E+00,5.308342E+04,4.930558E+04
09:15:00,1.764351E+00,2.576884E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,6.272824E+00,7.307747E+04,6.994639E+04,1.873988E+00,2.486554E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.740343E+00,5.582464E+04,5.214840E+04,2.705222E+00,1.801717E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.580389E+00,5.402389E+04,5.025370E+04
09:30:00,1.745713E+00,2.592213E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,6.277084E+00,7.376695E+04,7.064237E+04,1.838314E+00,2.515917E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.741943E+00,5.649035E+04,5.281984E+04,2.644974E+00,1.851270E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.622149E+00,5.514208E+04,5.139263E+04
09:45:00,1.731152E+00,2.604207E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,6.284483E+00,7.449959E+04,7.138697E+04,1.810579E+00,2.538766E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.744926E+00,5.717485E+04,5.351481E+04,2.595954E+00,1.891649E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.668171E+00,5.631101E+04,5.258745E+04
10:00:00,1.718976E+00,2.614239E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,6.291687E+00,7.523183E+04,7.213336E+04,1.787370E+00,2.557889E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.745349E+00,5.783116E+04,5.418305E+04,2.554186E+00,1.926063E+04,7.733388E-01,0.000000E+00,0.000000E+00,7.733388E-01,0.000000E+00,4.713972E+00,5.747799E+04,5.378249E+04
